Datatype: kernel_timings_CPU_n100
NC 	MAXOCCUPANCY 	BIRTH 	INFECTIONS 	NEWINFECTIONS 	PHAGEDECAY 	MOVEMENT 	SWAPZERO 	UPDATEOCCUPANCY 	NUTRIENTDIFFUSION 	SWAPZERO2
5032	6006	10606	14564	3373	3532	14838	42980	33111	38253	0
5261	6116	9755	13876	3572	3745	12061	43173	32647	36171	0
4952	5813	9061	13326	3348	3533	11560	43014	31500	36413	0
4929	5937	9058	13352	3435	3535	11407	42552	31474	36290	0
4935	5825	9167	13383	3353	3535	11538	42666	31606	36157	0
4984	5965	9091	13419	3379	3538	11566	42568	31463	36256	0
4949	5887	9155	13467	3401	3601	11501	42602	31547	36143	0
4935	5825	9125	13478	3433	3542	11634	42482	31593	36122	0
5003	5873	9051	13336	3348	3539	11374	43058	31640	36222	0
4950	5840	9086	13485	3380	3607	11506	42437	31599	36664	0
5038	5826	9142	13446	3362	3564	11451	42603	31521	37199	0
4934	5900	9184	13355	3417	3601	11780	42840	31463	36130	0
4969	5922	9051	13433	3358	3533	11603	42489	31637	36130	0
4934	5838	9057	13464	3452	3540	11454	42907	31442	36300	0
4933	5830	9196	13332	3351	3535	11381	42694	31562	36125	0
4997	5816	9122	13399	3378	3532	11496	42419	31601	36223	0
4933	5848	9556	13753	3384	3603	11492	42573	31388	36315	0
4931	5844	9123	13347	3368	3537	11515	42577	31628	36625	0
5508	6590	9961	14458	3815	3926	12600	43801	32587	36193	0
4935	5832	9544	14186	3676	3744	11655	43725	32270	38312	0
5172	6159	9175	13756	3623	3883	11638	42864	31994	36144	0
4932	5903	9092	13450	3375	3532	11546	42468	31614	36135	0
4933	5959	9051	13456	3362	3530	11431	42578	31475	36336	0
4934	5836	9186	13365	3367	3541	11560	42938	31468	36171	0
5097	6016	9478	13454	3370	3534	11505	42673	31540	36237	0
4934	5843	9059	13378	3399	3675	11482	44133	31474	36371	0
4930	5837	9169	13337	3353	3530	11400	42586	31629	36023	0
4967	5895	9055	13533	3369	3552	11507	42420	31592	36239	0
4935	5826	9218	13343	3426	3550	11676	42686	31441	36329	0
5261	6197	9309	13363	3384	3537	11477	42622	31555	36232	0
5063	5878	9111	13373	3462	3534	11457	42666	31703	36220	0
4932	5978	9063	13272	3364	3605	11561	43898	31738	36889	0
5040	5813	9391	13848	3371	3535	11427	44424	32197	36838	0
4996	5894	9060	13365	3469	3612	11709	43387	32151	36252	0
4931	5829	9260	13580	3437	3989	11727	42669	31397	36290	0
5033	5829	9078	13786	3620	3748	11547	43374	31583	36973	0
5034	5942	9094	13388	3466	3538	11794	45433	33974	38353	0
5203	6169	9609	14461	3934	3837	12070	43456	31760	36322	0
5534	6323	9458	13848	3402	3536	11439	43587	31792	36084	0
5061	5835	9099	13415	3376	3574	11597	42617	31610	36150	0
4935	6091	9493	13683	3374	3538	11454	42603	31547	37682	0
4930	5887	9129	14488	3806	4023	12593	46892	35074	40170	0
5474	6574	10072	14724	3827	3988	13404	47423	34795	57651	0
9890	10854	16900	19664	4054	3846	12755	44818	33943	40842	0
5555	6449	9790	14517	3741	3791	12633	44920	35063	40221	0
5725	6664	10245	14977	3762	3977	12931	47368	35811	40713	0
5547	6683	10183	14672	3759	4052	12718	47806	35223	40371	0
5411	6646	9986	14881	3820	3830	12743	45986	33902	40186	0
5340	6303	9806	14203	3628	3884	12467	45097	33502	38963	0
5334	6583	10066	14460	3853	4117	13491	46906	35019	39869	0
5463	6596	10117	14638	3747	3949	12800	46684	35239	44701	0
7593	10633	16192	21525	4300	3915	14471	46625	34664	40344	0
5419	6607	10168	13835	3406	3810	12111	45163	33524	38051	0
5197	6186	9520	14206	3576	3804	12342	44376	33130	38029	0
5481	6427	10116	14911	3771	3942	12873	46619	34062	37917	0
5008	6244	9700	14072	3734	3897	13079	47405	34584	39397	0
5550	6337	9774	14183	3649	3786	12118	45312	34673	39315	0
5226	6199	10193	14579	4161	3973	12875	46242	32960	38710	0
5437	6095	9658	14257	3678	3807	12872	46419	35053	41242	0
5372	6330	10143	14348	3780	4058	12913	46288	34569	39764	0
5399	6490	9783	14398	3879	3973	13048	47194	34553	40275	0
5380	6481	10061	14529	3850	3901	12973	46800	34773	38599	0
5259	6249	9659	14491	3947	3900	13040	47071	35136	40775	0
5609	6840	10349	14613	3875	3965	12911	46750	34938	40420	0
5399	6367	9930	14401	3740	3874	12537	47142	34975	39968	0
5535	6409	10037	14392	3691	3975	12486	46413	35030	40526	0
5476	6621	10003	14939	3838	3914	12562	46258	35582	40529	0
5624	6568	10365	14607	3730	3913	12498	47090	34106	39057	0
5762	6695	10402	14903	3868	3898	12601	46868	34662	40422	0
5474	6390	9920	14010	3690	3888	12581	45755	34910	39612	0
5575	6816	10280	14683	3785	3982	12766	47092	33483	38492	0
5296	6178	9563	14148	3818	3713	13282	45522	33177	38397	0
5266	6327	9753	14786	3858	3786	12838	44465	32680	37142	0
5582	6493	9648	13665	3500	3626	12022	44707	33240	38621	0
5237	6222	9654	14582	4108	4527	13516	45070	33608	38834	0
5382	6296	9870	14813	3789	3672	12121	43650	33102	37384	0
5131	5980	9407	13918	3454	3652	11929	44721	32827	36790	0
5111	6010	10904	14414	3867	4079	12503	44739	31887	36742	0
5102	6071	9322	13786	3367	3600	11565	43834	31445	36232	0
4929	5971	9608	13605	3449	3535	11440	42645	32423	36551	0
5087	5929	9180	14052	3661	3633	12423	43201	31590	36249	0
4966	5843	9098	14078	3596	3688	11599	42533	31377	36638	0
5281	5817	9201	13393	3531	3789	11876	42811	32457	36050	0
5001	5864	9124	13352	3366	3535	11517	44056	32059	36844	0
5031	5890	9223	13470	3519	3564	12024	43664	33021	38253	0
5176	6219	9644	14063	3613	3749	12472	44910	32660	37497	0
5161	6018	9268	13638	3461	3669	11739	43558	33433	37233	0
5033	5934	9354	13781	3555	3611	11612	43934	32167	37056	0
5166	5928	9279	13660	3519	3680	11689	44323	32100	37549	0
5025	5993	9498	14373	3827	3736	12003	43744	32124	36964	0
5037	5959	9344	13698	3512	3585	12135	45202	33331	38223	0
5256	6149	9521	14025	3529	3721	11898	43589	32288	37964	0
5386	5924	9452	13637	3431	3598	11701	43519	33315	37127	0
5110	5997	9428	14311	3892	3713	13330	45788	33735	38952	0
5239	5989	9611	15163	4907	4005	13423	47842	36360	42276	0
6738	6700	10286	14936	3907	4005	13514	47740	35489	39520	0
6095	11170	17747	21066	6369	8497	15531	46611	34662	40372	0
5466	6651	10181	14737	3941	3906	13111	48469	35286	40596	0
6451	6946	10378	14387	3559	3693	11881	43439	32892	39351	0
4971	6040	9289	13785	3435	3820	12000	45034	35540	38399	0
5216	6173	9578	13951	3523	3686	12332	45700	32195	38159	0
5108	6297	9620	14551	4076	4301	12258	43619	32248	37712	0
5772	7663	10307	14279	3574	3760	11983	43961	32301	39349	0
5233	6225	9388	13694	3457	3646	11719	43860	34511	36950	0
5034	5991	9268	14547	3532	3662	11751	45577	33428	37126	0
5058	5941	9218	13755	3472	3616	12702	45777	32816	37906	0
5339	6210	9887	15772	3834	3603	12169	44109	32161	39652	0
5033	5923	9245	14445	3880	3654	11826	44084	33377	39625	0
5256	6105	9471	14168	3574	3712	11775	46775	32619	37105	0
5133	5975	9259	13594	3408	3668	11958	47364	32171	36983	0
4998	6002	9612	15229	3650	4015	12381	44756	33561	40790	0
5463	6760	9813	14613	3654	3819	12034	44980	34317	38378	0
5064	6018	9441	13947	3418	3637	11636	43712	32829	36925	0
5146	5958	9638	13941	3465	3755	11817	43823	32590	37174	0
5021	5953	9344	14128	3465	3614	11812	44045	32522	38856	0
5369	6312	9590	14464	3661	3828	12601	46659	35302	63063	0
5597	6534	10025	14550	3812	3931	12845	47620	35018	40246	0
5570	6596	10066	14649	3819	4175	12763	48035	35304	41167	0
5691	6950	10226	14606	3895	4171	13446	47654	35704	41422	0
5587	6545	10162	14652	3938	3992	12888	48220	39234	38137	0
5443	6281	10239	13834	3441	3753	15255	44038	34219	40221	0
5327	6427	9880	14800	3966	3979	12307	46540	34863	39596	0
5682	6360	9510	13762	3480	3676	11885	44221	32266	38090	0
5398	6563	10317	13885	3483	3590	11645	43428	32850	37055	0
5354	6084	9446	13624	3451	3639	12235	43898	32284	38589	0
5656	6774	10067	14367	3784	3840	12347	47294	34368	39372	0
5461	6498	10071	15009	3844	3859	12458	45769	32145	38152	0
5025	5965	9256	13587	3527	3656	11577	43752	34397	39642	0
5491	6478	9890	14344	3706	3870	12421	46171	33262	38420	0
5114	6179	9573	14311	3504	3618	11672	43499	32197	37116	0
5215	5937	9449	13582	3398	3706	11759	43354	32258	37152	0
5016	5943	9309	13807	3512	3690	11823	43376	32147	37841	0
5066	6078	9273	13602	3517	3585	11589	43594	32614	36986	0
5170	6063	9383	14027	3595	3631	11891	44864	33177	39465	0
5344	6403	9902	14566	4145	3810	12722	44037	32577	39673	0
