Datatype: kernel_timings_GPU_n46
NC 	MAXOCCUPANCY 	BIRTH 	INFECTIONS 	NEWINFECTIONS 	PHAGEDECAY 	MOVEMENT 	SWAPZERO 	UPDATEOCCUPANCY 	NUTRIENTDIFFUSION 	SWAPZERO2
8804	6	35	145	32	17	713	2	46	30	1
15	5	31	140	24	16	698	2	46	29	1
17	4	31	143	24	16	698	2	45	29	1
17	4	31	138	24	16	698	1	46	29	1
17	4	33	140	24	16	703	1	45	28	1
15	4	31	145	23	16	701	1	45	29	1
16	4	31	143	23	16	698	2	45	29	1
17	4	33	143	24	16	694	1	45	28	1
16	5	42	144	25	16	701	1	44	28	1
16	5	31	138	24	16	701	1	45	28	1
16	4	30	142	23	16	704	1	45	28	1
16	4	31	144	23	17	698	1	45	28	1
17	4	31	140	24	16	695	1	45	29	1
17	4	34	140	25	16	697	1	45	27	1
16	4	31	143	23	16	696	1	45	29	1
17	4	32	141	24	16	694	1	45	28	1
16	5	31	144	23	16	696	1	46	29	1
17	4	33	144	24	16	707	2	45	28	1
17	4	31	147	23	16	708	1	45	29	1
16	5	30	138	22	15	698	1	45	29	1
17	5	31	146	23	16	695	1	45	29	1
16	4	31	141	23	16	699	1	45	28	1
16	4	31	135	23	16	697	1	46	29	1
16	4	31	142	23	15	691	1	45	28	1
17	4	32	142	24	16	693	1	45	29	1
16	4	31	142	24	16	707	1	45	29	1
17	4	31	138	23	16	700	1	45	27	1
15	4	31	142	23	16	697	1	45	28	1
16	4	34	138	24	16	696	1	45	28	1
19	4	32	149	24	20	707	1	45	28	1
16	5	33	140	23	16	699	1	44	28	1
16	5	32	141	24	16	700	1	45	28	1
15	4	32	141	22	16	702	1	45	29	1
16	4	31	139	24	16	698	1	45	29	1
17	4	31	142	24	16	698	1	45	28	1
17	4	31	137	24	16	706	1	45	29	1
15	4	33	143	24	16	704	1	44	29	1
16	4	31	145	24	16	701	2	45	28	1
15	4	30	139	23	14	674	1	44	29	1
16	4	30	135	23	15	677	1	44	27	1
15	5	29	140	23	16	701	1	45	28	1
16	5	30	142	24	15	696	1	45	28	1
16	4	31	136	23	16	698	1	45	28	1
17	4	32	136	24	16	696	2	45	28	1
17	4	33	138	24	16	698	1	45	29	1
17	4	30	141	24	15	722	1	45	28	1
16	5	31	142	24	16	699	1	45	29	1
16	4	31	144	24	16	693	1	46	29	2
19	4	31	141	23	16	698	1	46	27	1
16	5	33	139	24	16	708	1	45	29	1
23	5	33	140	24	16	700	2	45	28	1
16	5	31	147	24	16	695	1	45	28	1
16	5	31	141	23	16	698	1	45	28	1
16	4	31	140	24	16	698	1	45	28	1
16	4	34	138	23	16	696	2	46	28	1
17	4	31	138	25	16	694	1	45	28	1
17	4	31	140	24	16	696	1	45	29	1
16	4	31	143	24	16	698	1	45	28	1
16	4	33	141	23	16	710	2	47	29	1
16	4	31	150	23	15	703	1	45	28	1
16	4	31	145	24	16	695	1	45	29	1
16	5	34	144	24	16	694	1	44	28	1
16	5	31	141	23	16	699	1	45	28	1
15	5	30	142	23	16	694	1	45	28	1
16	4	33	144	24	16	698	1	45	28	1
16	4	31	140	24	16	697	1	45	28	1
17	5	31	137	23	18	705	1	45	28	1
15	4	31	137	24	16	727	2	45	29	1
16	4	30	138	23	16	703	1	44	29	1
16	4	32	142	24	16	696	1	45	29	1
17	5	31	145	23	16	708	2	46	29	1
16	5	33	142	23	16	701	1	44	29	1
16	5	31	136	23	16	703	1	45	29	1
16	5	31	141	24	14	697	2	46	29	1
16	4	31	146	23	16	719	2	45	28	1
17	4	31	138	24	16	697	1	45	28	1
17	4	32	144	24	16	699	1	45	28	1
17	4	31	143	24	16	696	1	46	28	1
16	4	31	141	23	16	703	1	45	29	1
16	4	31	139	24	16	695	1	45	28	1
16	4	31	138	24	16	702	1	46	27	1
16	5	31	139	24	16	695	1	46	29	1
16	4	33	140	24	16	697	1	45	28	1
16	5	31	142	24	16	703	1	45	29	1
16	5	33	140	23	16	702	2	44	29	1
16	4	32	140	24	16	700	1	45	28	1
15	4	31	153	24	16	685	2	44	27	1
16	4	31	136	23	15	675	1	44	27	1
15	4	30	135	22	15	676	1	44	27	1
15	4	30	144	24	16	748	2	45	29	1
17	4	31	138	23	16	700	1	45	29	1
16	4	32	136	24	16	702	1	45	28	1
16	4	30	143	23	15	699	2	45	33	1
17	4	31	155	23	15	720	1	45	28	1
21	6	30	143	28	16	699	1	44	28	1
16	5	31	139	24	16	694	1	45	28	1
16	5	31	148	24	16	703	1	44	28	1
16	4	31	143	24	16	702	1	45	28	1
17	5	30	145	23	15	695	1	46	29	1
16	4	31	143	24	16	693	1	45	28	1
22	5	30	139	24	16	694	2	45	29	1
16	5	31	138	24	16	695	1	46	28	1
16	4	31	142	24	16	699	1	44	28	1
16	4	33	144	24	16	702	1	45	28	1
17	4	29	141	24	15	696	1	44	28	1
17	4	31	139	24	16	692	1	45	28	1
17	4	31	141	35	17	696	1	45	28	1
17	4	32	145	23	16	703	1	44	28	1
16	4	31	139	23	16	699	1	45	28	1
16	4	31	140	24	15	692	1	45	28	1
16	4	31	147	23	16	692	1	45	29	1
16	4	31	142	25	16	696	1	44	28	1
16	4	32	139	24	16	697	1	45	28	1
16	4	31	144	23	15	699	1	45	28	1
16	4	31	141	23	16	709	2	45	28	1
27	4	31	138	25	16	696	2	46	29	1
17	4	31	134	24	16	699	1	45	28	1
15	4	31	161	25	16	698	1	45	27	1
17	4	32	141	23	16	701	1	45	28	1
16	4	31	138	24	16	698	2	45	28	1
16	4	33	142	24	16	692	1	45	29	1
16	5	31	138	24	16	696	1	45	29	1
16	4	33	142	24	16	712	1	45	28	1
16	4	30	140	22	16	701	1	45	29	1
16	5	33	139	23	16	697	1	45	29	1
16	4	31	146	24	16	698	1	46	28	1
16	4	31	138	23	16	700	2	45	29	1
16	5	31	142	24	16	693	1	45	29	1
16	4	31	140	23	16	696	1	45	28	1
16	4	31	139	24	16	698	1	45	29	1
16	4	33	142	24	16	697	1	44	27	1
16	4	31	139	24	16	696	1	45	28	1
16	5	33	145	23	16	695	1	45	29	1
16	8	31	136	24	21	696	1	45	28	1
16	4	31	136	24	16	721	1	44	28	1
17	4	31	137	23	16	673	1	44	27	1
15	4	30	136	22	15	669	1	44	27	1
15	4	31	136	23	15	674	1	45	28	1
16	4	34	139	23	16	696	1	44	28	1
16	5	31	138	24	16	697	1	45	28	1
16	4	30	144	22	15	698	1	44	29	1
16	4	31	138	23	16	697	1	45	29	1
16	4	31	144	23	16	696	1	45	28	1
30	5	32	142	24	17	693	1	45	27	1
15	4	31	136	23	16	697	1	45	32	1
18	4	31	141	24	16	694	1	45	29	1
16	4	31	141	23	16	696	1	45	29	1
16	4	31	142	24	16	695	1	45	27	1
17	4	32	139	25	17	704	1	45	28	1
16	4	31	143	24	16	698	1	45	28	1
26	5	32	135	26	17	695	1	45	27	1
16	4	31	143	24	16	699	1	45	29	1
16	4	32	143	23	15	698	1	45	28	1
16	4	31	138	23	16	696	1	45	29	1
16	5	31	136	23	16	697	1	44	29	1
17	4	31	146	30	16	706	1	45	28	1
16	4	30	140	25	16	699	1	45	28	1
16	4	31	138	24	16	696	1	45	29	1
16	4	32	138	23	16	695	1	45	29	1
16	4	31	144	24	16	699	1	49	29	1
15	4	31	138	24	16	694	1	45	29	1
16	4	34	137	24	16	698	1	45	28	1
16	5	31	141	23	16	696	1	45	28	1
16	5	31	143	24	16	699	2	45	28	1
16	4	31	139	24	16	711	2	45	29	1
17	5	30	137	24	15	695	1	45	28	1
16	4	31	143	23	16	695	1	44	28	1
16	4	31	142	23	16	716	2	44	28	1
16	4	31	145	23	16	706	1	45	27	1
15	4	31	141	24	16	699	1	45	28	1
16	4	31	138	23	16	695	2	46	29	1
17	4	31	155	25	16	696	1	45	29	1
16	4	32	141	23	16	700	1	44	28	1
16	4	31	139	24	16	695	1	45	28	1
16	4	31	140	23	14	696	1	45	29	1
16	4	31	142	23	16	695	1	45	29	1
16	4	33	142	24	16	695	1	43	29	1
16	4	31	140	24	16	703	1	45	29	1
17	4	30	139	23	15	696	1	45	28	1
16	4	31	142	23	16	696	1	45	28	1
16	4	31	136	23	16	696	1	43	29	1
17	4	31	136	25	16	707	1	44	29	1
16	4	30	142	22	16	700	1	45	28	1
16	4	31	142	24	16	712	1	44	27	1
15	4	31	135	22	15	672	2	45	28	1
15	4	30	136	23	15	672	2	44	27	1
16	4	30	140	24	16	693	1	45	28	1
16	4	30	143	24	16	699	1	45	29	1
16	4	31	148	24	16	723	1	46	28	1
16	4	31	138	24	16	696	1	45	29	1
16	4	31	139	23	16	706	1	45	29	1
17	4	31	139	24	16	702	1	45	28	1
20	4	30	142	26	15	696	1	45	28	1
16	4	31	138	26	16	699	2	45	28	1
16	4	31	140	23	16	692	2	43	28	1
16	4	31	141	24	16	697	1	45	28	1
16	4	30	140	22	15	693	1	45	29	1
20	4	31	137	24	20	691	1	45	28	1
16	4	31	140	24	16	694	1	44	29	1
16	4	31	140	24	16	699	1	45	29	1
22	5	33	146	24	16	691	2	44	29	1
17	4	31	139	24	16	698	2	45	28	1
17	4	30	140	22	14	695	1	46	29	1
16	4	31	170	24	14	701	1	45	28	1
33	5	31	152	24	16	706	1	48	28	1
17	4	31	141	24	16	694	1	45	29	1
16	4	31	137	23	16	697	1	45	28	1
15	4	31	140	23	16	700	2	45	28	1
16	4	33	137	23	16	696	1	46	29	1
16	4	31	140	24	16	695	1	45	29	1
16	4	31	142	23	16	696	1	45	27	1
15	4	31	136	24	16	717	1	45	29	1
16	4	31	144	23	15	695	1	45	29	1
17	4	33	136	24	16	696	2	45	29	1
16	4	31	144	25	16	703	1	44	29	1
16	4	43	138	23	16	694	1	45	29	1
16	4	30	138	22	14	696	1	45	28	1
16	4	33	144	24	16	694	1	45	28	1
16	4	34	144	23	16	696	1	45	28	1
17	4	31	135	24	16	701	1	45	28	1
16	4	41	141	22	16	700	1	44	28	1
16	4	31	140	24	16	711	1	45	29	1
16	4	33	141	23	16	697	1	45	28	1
16	4	31	141	24	16	706	2	46	27	1
17	4	31	141	23	16	696	1	46	29	1
17	4	31	154	24	15	724	1	45	28	1
16	4	31	144	23	16	698	1	45	29	1
16	4	31	138	24	16	693	1	45	28	1
16	4	33	137	23	16	699	1	45	28	1
15	4	31	141	24	16	696	1	45	29	1
17	4	33	150	25	16	696	1	45	29	1
16	4	31	144	24	16	720	1	45	29	1
16	4	31	144	23	16	673	1	44	27	1
15	4	30	135	22	15	673	1	44	29	1
17	5	31	142	23	15	673	1	44	27	1
15	4	30	137	24	16	697	1	45	28	1
16	4	33	144	23	16	698	1	45	28	1
16	4	31	141	24	16	695	1	45	28	1
16	4	31	141	23	16	698	1	45	27	1
16	5	31	149	24	16	698	2	45	28	1
17	5	31	144	24	15	698	1	45	29	1
16	4	31	138	24	16	695	1	45	29	1
20	5	32	141	23	16	697	1	44	28	1
16	4	31	137	24	16	700	1	45	29	1
16	4	30	139	23	15	693	1	45	29	1
16	4	31	138	23	16	694	1	45	28	1
16	4	32	143	23	16	697	1	44	28	1
16	4	31	148	24	16	717	1	45	29	1
15	4	30	141	22	16	696	1	45	28	1
16	4	34	142	24	16	697	1	45	28	1
22	5	32	142	23	16	696	1	45	30	1
17	5	31	139	24	16	700	1	45	28	1
16	4	31	146	24	22	706	2	50	29	1
17	4	31	144	24	16	697	1	45	29	1
16	4	31	136	24	16	697	1	45	28	1
16	4	31	141	24	16	713	1	46	28	1
15	4	31	141	22	16	702	1	45	29	1
16	4	31	145	24	16	695	1	45	28	1
16	4	31	142	24	16	693	1	45	28	1
16	4	31	143	24	16	698	1	45	28	1
15	4	31	143	23	16	700	1	45	29	1
16	4	31	142	23	16	696	1	45	29	1
16	4	31	140	23	16	699	1	45	28	1
16	4	31	157	24	16	697	2	45	29	1
16	4	31	143	23	16	694	1	43	28	1
16	4	39	141	24	16	699	1	45	28	1
15	4	32	140	22	16	701	1	45	29	1
16	4	31	137	24	16	694	1	45	29	1
16	4	31	149	24	16	692	1	45	29	1
16	4	31	142	24	16	695	1	45	29	1
17	4	33	140	23	17	696	1	44	29	1
16	4	31	146	24	16	695	1	45	29	1
17	4	31	139	23	16	697	1	45	29	1
16	4	31	138	24	16	699	1	45	28	1
16	5	31	136	23	16	694	1	45	29	1
17	4	31	140	24	17	696	1	45	28	1
16	4	33	140	24	16	693	1	44	29	1
16	4	31	137	24	16	700	1	45	27	1
16	4	31	142	23	16	707	2	45	28	1
16	18	29	141	24	15	694	1	49	30	1
16	4	31	146	25	16	694	1	45	29	1
16	4	31	136	22	15	670	1	44	27	1
15	4	30	134	23	15	671	1	44	29	1
15	4	32	136	22	15	685	1	45	29	1
16	4	34	138	24	16	694	1	45	29	1
16	5	31	142	32	20	735	1	45	28	1
16	4	31	140	23	16	702	2	44	28	1
16	4	31	139	24	16	695	1	45	28	1
16	4	31	143	22	16	698	1	45	28	1
17	4	31	145	24	16	697	2	46	28	1
17	5	31	144	23	16	694	1	45	29	1
16	5	33	143	23	16	698	1	45	27	1
16	4	31	137	23	16	698	1	45	28	1
16	5	33	142	24	16	698	1	45	29	1
16	4	33	145	23	16	695	1	45	28	1
16	4	31	138	24	16	694	1	45	28	1
16	5	33	138	24	16	701	1	45	28	1
16	4	33	145	24	16	696	1	45	28	1
16	4	33	140	23	16	694	1	45	28	1
16	4	31	138	24	16	699	2	45	27	1
22	5	31	146	23	16	709	2	45	29	1
17	5	33	142	37	16	692	2	46	29	1
16	7	33	138	24	16	696	1	44	28	1
15	4	31	140	22	16	698	2	46	29	1
17	4	31	136	23	16	692	1	45	29	1
17	4	31	139	24	16	700	1	45	29	1
16	4	31	142	23	16	696	2	46	28	1
15	4	31	141	23	16	694	1	45	29	1
16	4	34	140	23	16	701	1	45	29	1
16	4	31	143	24	16	697	1	45	28	1
16	4	32	143	24	16	698	1	44	27	1
16	4	31	136	24	16	693	2	45	29	1
16	4	31	143	23	16	691	2	46	28	1
16	4	31	142	24	16	693	2	45	29	1
16	4	31	141	23	16	694	1	45	27	1
16	4	31	141	24	16	698	1	45	28	1
16	4	33	143	23	16	698	2	45	29	1
16	4	31	148	23	16	692	1	46	29	1
16	4	31	141	23	16	693	1	45	27	1
16	4	31	141	24	16	701	1	45	29	1
16	4	31	140	23	15	732	2	46	28	1
16	4	31	144	24	16	711	2	45	30	1
17	5	31	140	24	16	743	2	45	29	1
17	5	34	144	24	16	700	1	55	32	1
17	4	31	159	25	16	708	1	45	29	1
16	4	31	140	24	16	702	1	45	27	1
16	4	31	139	23	18	696	2	44	29	1
17	5	33	144	23	16	698	1	45	28	1
16	4	31	142	24	16	707	2	45	28	1
17	4	32	145	24	16	679	1	44	27	1
15	4	30	138	22	19	670	1	44	27	1
15	4	30	136	24	16	678	1	43	27	1
15	5	31	141	24	15	694	1	45	28	1
16	4	31	142	24	16	695	1	46	29	1
16	4	31	148	23	16	697	1	44	29	1
16	4	34	138	24	16	699	1	44	29	1
16	4	30	143	22	16	699	1	45	29	1
16	4	31	138	24	16	698	1	45	28	1
17	4	31	139	23	16	703	2	45	28	1
16	5	31	138	24	16	704	1	45	29	1
15	4	31	142	24	16	699	1	45	28	1
16	4	31	144	24	16	698	1	46	28	1
16	4	31	144	23	16	699	1	45	28	1
16	5	31	143	24	16	698	1	45	27	1
16	4	31	138	24	16	697	1	45	29	1
17	4	31	141	25	14	695	2	45	28	1
17	4	31	144	24	16	721	1	45	29	1
16	4	31	140	23	16	701	1	45	29	1
16	4	31	140	23	16	699	1	45	29	1
16	4	31	139	24	16	697	1	44	28	1
22	5	31	140	24	16	699	1	45	28	1
16	4	31	147	24	16	693	2	46	28	1
16	4	31	136	24	16	693	1	45	29	1
16	4	31	146	24	16	695	1	45	29	1
16	4	31	138	23	16	695	1	45	28	1
16	4	31	140	23	16	699	1	45	28	1
16	4	31	137	23	16	692	5	47	28	1
17	5	32	154	25	15	694	1	45	28	1
16	5	31	142	23	16	708	1	45	29	1
17	5	31	138	24	16	694	1	43	28	1
16	4	31	141	23	16	707	2	45	28	1
